nivel,verificacion,resultado,detalle
ERROR,Zonas: columnas obligatorias,OK,Todas presentes.
ERROR,Zonas: zone_id único,OK,Duplicados: 0
ERROR,Zonas: 15 zonas definidas,OK,Filas encontradas: 15
ERROR,Zonas: 12 desarrollo y 3 validación espacial,OK,"Distribución: {'desarrollo': 12, 'validacion_espacial': 3}"
ERROR,Crudos: directorio existe,OK,C:\Users\Kathy\Documents\GitHub\rain-threat-classifier\datos\crudos\era5_land
ERROR,Crudos: carpeta por cada zona,OK,Todas presentes.
ERROR,Crudos: marcador de descarga completa por zona,OK,Todos los marcadores son válidos.
ERROR,Crudos: solicitud original de siete variables registrada,OK,Los marcadores registran las siete variables solicitadas originalmente al CDS.
ERROR,Crudos: periodo solicitado 1991-01-01 a 2026-01-01,OK,Periodo correcto.
ERROR,Crudos: NetCDF listados en marcadores existen,OK,Todos los archivos referenciados existen.
ERROR,Crudos: NetCDF pueden abrirse físicamente,OK,Todos los NetCDF pudieron abrirse.
ERROR,Crudos: seis variables usadas por el pipeline presentes físicamente,OK,"t2m, d2m, tp, sp, u10 y v10 están presentes en los NetCDF de todas las zonas."
ADVERTENCIA,Crudos: humedad del suelo solicitada vs archivo físico,ADVERTENCIA,"La solicitud/marcador incluye humedad del suelo, pero swvl1 no está físicamente en los NetCDF conservados de estas zonas: ['guayaquil', 'babahoyo', 'esmeraldas', 'portoviejo', 'machala', 'salinas', 'quito', 'riobamba', 'cuenca', 'loja', 'tena', 'puyo', 'santo_domingo', 'nueva_loja', 'macas']. No afecta el pipeline actual porque esa variable no se procesa ni se usa como feature."
ERROR,Calidad: columnas obligatorias,OK,Todas presentes.
ERROR,Calidad: 15 zonas,OK,Zonas encontradas: 15
ERROR,Calidad: 12 zonas de desarrollo y 3 holdout,OK,"Distribución: {'desarrollo': 12, 'validacion_espacial': 3}"
ERROR,Calidad: cero faltantes temporales y meteorológicos,OK,Todos los indicadores son cero.
ERROR,Calidad: 12.784 días y 420 meses por zona,OK,Conteos correctos.
ERROR,Diario: columnas obligatorias,OK,Todas presentes.
ERROR,Diario: filas por zona,OK,Todas las zonas tienen 12784 filas.
ERROR,Diario: claves zona-fecha únicas,OK,Duplicados: 0
ERROR,Diario: cobertura exacta 1991-01-01 a 2025-12-31,OK,Cobertura correcta.
ERROR,Diario: variables obligatorias sin nulos,OK,No hay nulos.
ERROR,Diario: precipitación no negativa,OK,Filas negativas: 0
ADVERTENCIA,Diario: máximo 1h ≤ 3h ≤ 6h,OK,Filas que no cumplen: 0
ERROR,Diario: temperatura mínima ≤ media ≤ máxima,OK,Filas que no cumplen: 0
ERROR,Diario: humedad relativa entre 0 y 100,OK,Filas fuera de rango: 0
ADVERTENCIA,Diario: rangos físicos generales,OK,"{'temperatura_fuera_-30_50': 0, 'presion_fuera_500_1100': 0, 'viento_negativo': 0}"
ERROR,Diario: sin infinitos,OK,No hay infinitos.
ERROR,Diario: humedad del suelo no propagada al dataset derivado,OK,No existen columnas de humedad del suelo en el dataset derivado.
ERROR,Mensual: columnas obligatorias,OK,Todas presentes.
ERROR,Mensual: filas por zona,OK,Todas las zonas tienen 420 filas.
ERROR,Mensual: claves zona-periodo únicas,OK,Duplicados: 0
ERROR,Mensual: cobertura exacta 1991-01 a 2025-12,OK,Cobertura correcta.
ERROR,Mensual: todos los meses completos,OK,"Días incompletos: 0, banderas falsas: 0"
ERROR,Mensual: variables obligatorias sin nulos,OK,No hay nulos.
ERROR,Mensual: coherencia interna,OK,"{'prcptot_menor_rx1day': 0, 'r20_mayor_r10': 0, 'r10_mayor_dias_humedos': 0, 'cwd_mayor_dias_mes': 0, 'cdd_mayor_dias_mes': 0, 'temperatura_incoherente': 0}"
ERROR,Mensual: sin infinitos,OK,No hay infinitos.
ERROR,Mensual: humedad del suelo no propagada al dataset derivado,OK,No existen columnas de humedad del suelo en el dataset derivado.
ERROR,Consistencia: zonas de calidad coinciden con catálogo,OK,Coincidencia exacta.
ERROR,Consistencia: zonas de diario coinciden con catálogo,OK,Coincidencia exacta.
ERROR,Consistencia: zonas de mensual coinciden con catálogo,OK,Coincidencia exacta.
