zone_id,ciudad,rol,first_hour_utc_downloaded,last_hour_utc_downloaded,hourly_rows_downloaded,expected_local_days,daily_rows,missing_local_days,expected_months,monthly_rows,missing_months,incomplete_months,days_with_precip_hours_not_24,days_with_instant_hours_not_24,available_t2m_hours,missing_t2m_hours,available_d2m_hours,missing_d2m_hours,available_tp_hours,missing_tp_hours,available_sp_hours,missing_sp_hours,available_u10_hours,missing_u10_hours,available_v10_hours,missing_v10_hours
guayaquil,Guayaquil,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
babahoyo,Babahoyo,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
esmeraldas,Esmeraldas,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
portoviejo,Portoviejo,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
machala,Machala,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
salinas,Salinas,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
quito,Quito,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
riobamba,Riobamba,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
cuenca,Cuenca,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
loja,Loja,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
tena,Tena,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
puyo,Puyo,desarrollo,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
santo_domingo,Santo Domingo,validacion_espacial,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
nueva_loja,Nueva Loja,validacion_espacial,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
macas,Macas,validacion_espacial,1991-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,306840,12784,12784,0,420,420,0,0,0,0,306840,0,306840,0,306840,0,306840,0,306840,0,306840,0
