zone_id,ciudad,provincia,region,rol,period,period_start,target_period_start,split,amenaza_mes,target_amenaza,target_rx5day_mm,target_month,prcptot_mm,rx5day_mm,max_3h_mm,sdii_mm_per_wet_day,r20mm_days,cwd_days,cdd_days,temperature_mean_c,relative_humidity_mean_pct,wind_mean_ms,surface_pressure_mean_hpa,latitud_solicitada,longitud_solicitada,target_month_sin,target_month_cos,prcptot_mm__lag1,prcptot_mm__lag11,rx5day_mm__lag1,rx5day_mm__lag11,max_3h_mm__lag1,max_3h_mm__lag11,sdii_mm_per_wet_day__lag1,sdii_mm_per_wet_day__lag11,r20mm_days__lag1,r20mm_days__lag11,cwd_days__lag1,cwd_days__lag11,cdd_days__lag1,cdd_days__lag11,temperature_mean_c__lag1,temperature_mean_c__lag11,relative_humidity_mean_pct__lag1,relative_humidity_mean_pct__lag11,wind_mean_ms__lag1,wind_mean_ms__lag11,surface_pressure_mean_hpa__lag1,surface_pressure_mean_hpa__lag11
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1991-12,1991-12-01,1992-01-01,entrenamiento,Alta,Alta,178.37478733062744,1,249.85265,88.3700008392334,11.243179559707642,9.253801345825195,1,15,3,23.111862,88.02381,0.9287563,980.0909,-1.801926,-79.534645,0.49999999999999994,0.8660254037844387,171.44695,206.13931,71.93759536743164,62.28325259685517,9.39296007156372,10.788008689880373,6.857877731323242,7.362118244171143,1.0,3.0,12.0,19.0,3.0,2.0,22.995827,23.360975,83.494194,84.00248,1.1711093,0.81269264,980.442,981.1356
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-01,1992-01-01,1992-02-01,entrenamiento,Alta,Alta,243.1441555023193,2,660.1119,178.37478733062744,45.00991725921631,21.29393196105957,8,31,0,23.280386,88.85376,0.7383055,980.1235,-1.801926,-79.534645,0.8660254037844386,0.5000000000000001,249.85265,338.60364,88.3700008392334,108.73790645599364,11.243179559707642,13.914175033569336,9.253801345825195,12.092987060546877,1.0,3.0,15.0,28.0,3.0,0.0,23.111862,23.412565,88.02381,87.96047,0.9287563,0.8164163,980.0909,980.55707
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-02,1992-02-01,1992-03-01,entrenamiento,Alta,Alta,262.8963861465454,3,630.3688,243.1441555023193,51.03765106201172,24.24495315551757,12,12,1,23.65473,89.13474,0.7356589,980.31134,-1.801926,-79.534645,1.0,6.123233995736766e-17,660.1119,382.81235,178.37478733062744,167.26159620285034,45.00991725921631,32.03313446044922,21.29393196105957,14.723551750183104,8.0,6.0,31.0,17.0,0.0,2.0,23.280386,24.151102,88.85376,86.72064,0.7383055,0.7418686,980.1235,980.3141
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-03,1992-03-01,1992-04-01,entrenamiento,Alta,Alta,260.3540391921997,4,1107.5076,262.8963861465454,39.095327377319336,35.726051330566406,16,31,0,24.030579,90.6115,0.79251534,979.54675,-1.801926,-79.534645,0.8660254037844387,-0.4999999999999998,630.3688,355.7184,243.1441555023193,142.9581813812256,51.03765106201172,14.585495471954346,24.24495315551757,14.228736877441406,12.0,5.0,12.0,12.0,1.0,3.0,23.65473,23.79137,89.13474,87.18776,0.7356589,0.7948116,980.31134,980.401
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-04,1992-04-01,1992-05-01,entrenamiento,Alta,Alta,141.55050086975098,5,908.39307,260.3540391921997,43.92518424987793,31.323898315429688,17,29,1,24.140015,90.07103,0.75486416,979.4071,-1.801926,-79.534645,0.49999999999999994,-0.8660254037844387,1107.5076,281.81442,262.8963861465454,84.19995856285095,39.095327377319336,12.7857403755188,35.726051330566406,10.064801216125488,16.0,4.0,31.0,19.0,0.0,2.0,24.030579,23.798376,90.6115,87.17473,0.79251534,0.8260291,979.54675,980.6066
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-05,1992-05-01,1992-06-01,entrenamiento,Alta,Alta,141.30156230926514,6,458.5234,141.55050086975098,19.7109432220459,14.791077613830566,7,31,0,23.841301,88.475555,0.7190868,979.87445,-1.801926,-79.534645,1.2246467991473532e-16,-1.0,908.39307,191.66788,260.3540391921997,78.88170433044434,43.92518424987793,10.03450894355774,31.323898315429688,7.986161708831787,17.0,1.0,29.0,11.0,1.0,2.0,24.140015,23.176596,90.07103,87.23211,0.75486416,0.9202538,979.4071,981.05054
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-06,1992-06-01,1992-07-01,entrenamiento,Alta,Media,66.03663063049316,7,291.94638,141.30156230926514,20.755667209625244,11.228707313537598,4,19,3,23.13388,86.917595,0.79076093,979.96576,-1.801926,-79.534645,-0.4999999999999997,-0.8660254037844388,458.5234,156.38855,141.55050086975098,50.22903776168823,19.7109432220459,5.334056854248047,14.791077613830566,5.392708778381348,7.0,0.0,31.0,19.0,0.0,1.0,23.841301,22.330627,88.475555,86.12859,0.7190868,1.0631764,979.87445,981.508
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-07,1992-07-01,1992-08-01,entrenamiento,Media,Baja,31.606123387813568,8,136.56598,66.03663063049316,6.970489263534546,6.5031418800354,1,12,3,21.98299,84.90028,0.9854842,981.83,-1.801926,-79.534645,-0.8660254037844385,-0.5000000000000004,291.94638,87.95317,141.30156230926514,27.838074207305908,20.755667209625244,4.127704977989197,11.228707313537598,3.664715528488159,4.0,0.0,19.0,16.0,3.0,3.0,23.13388,21.853712,86.917595,84.3098,0.79076093,1.0911506,979.96576,981.9102
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-08,1992-08-01,1992-09-01,entrenamiento,Baja,Media,40.23836755752564,9,81.80526,31.606123387813568,6.760287165641785,5.112828731536865,0,4,3,22.010391,82.944305,1.1483624,982.1149,-1.801926,-79.534645,-1.0,-1.8369701987210297e-16,136.56598,103.03799,66.03663063049316,46.32245969772339,6.970489263534546,4.512757062911987,6.5031418800354,5.423051834106445,1.0,0.0,12.0,8.0,3.0,6.0,21.98299,22.340498,84.90028,81.0824,0.9854842,1.2521636,981.83,981.3015
babahoyo,Babahoyo,Los Ríos,Litoral,desarrollo,1992-09,1992-09-01,1992-10-01,entrenamiento,Media,Media,45.86048889160156,10,129.32254,40.23836755752564,4.2081204652786255,5.6227192878723145,0,19,3,22.013227,83.47043,1.1318082,980.92505,-1.801926,-79.534645,-0.8660254037844386,0.5000000000000001,81.80526,239.80466,31.606123387813568,94.43866062164308,6.760287165641785,10.72081184387207,5.112828731536865,7.993488788604736,0.0,3.0,4.0,16.0,3.0,1.0,22.010391,22.186192,82.944305,85.95101,1.1483624,1.1378347,982.1149,980.6443
