zone_id,ciudad,period_start,target_period_start,target_amenaza,prediccion
babahoyo,Babahoyo,2017-12-01,2018-01-01,Baja,Baja
babahoyo,Babahoyo,2018-01-01,2018-02-01,Media,Baja
babahoyo,Babahoyo,2018-02-01,2018-03-01,Baja,Media
babahoyo,Babahoyo,2018-03-01,2018-04-01,Media,Baja
babahoyo,Babahoyo,2018-04-01,2018-05-01,Alta,Media
babahoyo,Babahoyo,2018-05-01,2018-06-01,Baja,Media
babahoyo,Babahoyo,2018-06-01,2018-07-01,Baja,Baja
babahoyo,Babahoyo,2018-07-01,2018-08-01,Media,Baja
babahoyo,Babahoyo,2018-08-01,2018-09-01,Baja,Baja
babahoyo,Babahoyo,2018-09-01,2018-10-01,Baja,Media
babahoyo,Babahoyo,2018-10-01,2018-11-01,Baja,Baja
babahoyo,Babahoyo,2018-11-01,2018-12-01,Alta,Baja
babahoyo,Babahoyo,2018-12-01,2019-01-01,Alta,Media
babahoyo,Babahoyo,2019-01-01,2019-02-01,Media,Media
babahoyo,Babahoyo,2019-02-01,2019-03-01,Alta,Alta
babahoyo,Babahoyo,2019-03-01,2019-04-01,Alta,Alta
babahoyo,Babahoyo,2019-04-01,2019-05-01,Alta,Alta
babahoyo,Babahoyo,2019-05-01,2019-06-01,Media,Alta
babahoyo,Babahoyo,2019-06-01,2019-07-01,Media,Media
babahoyo,Babahoyo,2019-07-01,2019-08-01,Baja,Media
babahoyo,Babahoyo,2019-08-01,2019-09-01,Baja,Media
babahoyo,Babahoyo,2019-09-01,2019-10-01,Media,Baja
babahoyo,Babahoyo,2019-10-01,2019-11-01,Baja,Baja
babahoyo,Babahoyo,2019-11-01,2019-12-01,Media,Media
babahoyo,Babahoyo,2019-12-01,2020-01-01,Baja,Media
babahoyo,Babahoyo,2020-01-01,2020-02-01,Media,Baja
babahoyo,Babahoyo,2020-02-01,2020-03-01,Alta,Alta
babahoyo,Babahoyo,2020-03-01,2020-04-01,Alta,Alta
babahoyo,Babahoyo,2020-04-01,2020-05-01,Baja,Alta
babahoyo,Babahoyo,2020-05-01,2020-06-01,Baja,Baja
babahoyo,Babahoyo,2020-06-01,2020-07-01,Baja,Baja
babahoyo,Babahoyo,2020-07-01,2020-08-01,Baja,Media
babahoyo,Babahoyo,2020-08-01,2020-09-01,Baja,Baja
babahoyo,Babahoyo,2020-09-01,2020-10-01,Media,Baja
babahoyo,Babahoyo,2020-10-01,2020-11-01,Media,Media
babahoyo,Babahoyo,2020-11-01,2020-12-01,Media,Media
babahoyo,Babahoyo,2020-12-01,2021-01-01,Alta,Media
babahoyo,Babahoyo,2021-01-01,2021-02-01,Media,Media
babahoyo,Babahoyo,2021-02-01,2021-03-01,Baja,Baja
babahoyo,Babahoyo,2021-03-01,2021-04-01,Media,Baja
babahoyo,Babahoyo,2021-04-01,2021-05-01,Media,Media
babahoyo,Babahoyo,2021-05-01,2021-06-01,Baja,Media
babahoyo,Babahoyo,2021-06-01,2021-07-01,Baja,Baja
babahoyo,Babahoyo,2021-07-01,2021-08-01,Media,Baja
babahoyo,Babahoyo,2021-08-01,2021-09-01,Media,Media
babahoyo,Babahoyo,2021-09-01,2021-10-01,Baja,Media
babahoyo,Babahoyo,2021-10-01,2021-11-01,Media,Media
babahoyo,Babahoyo,2021-11-01,2021-12-01,Baja,Baja
cuenca,Cuenca,2017-12-01,2018-01-01,Alta,Alta
cuenca,Cuenca,2018-01-01,2018-02-01,Alta,Alta
cuenca,Cuenca,2018-02-01,2018-03-01,Baja,Baja
cuenca,Cuenca,2018-03-01,2018-04-01,Alta,Baja
cuenca,Cuenca,2018-04-01,2018-05-01,Alta,Alta
cuenca,Cuenca,2018-05-01,2018-06-01,Alta,Alta
cuenca,Cuenca,2018-06-01,2018-07-01,Media,Baja
cuenca,Cuenca,2018-07-01,2018-08-01,Alta,Baja
cuenca,Cuenca,2018-08-01,2018-09-01,Baja,Alta
cuenca,Cuenca,2018-09-01,2018-10-01,Baja,Media
cuenca,Cuenca,2018-10-01,2018-11-01,Alta,Baja
cuenca,Cuenca,2018-11-01,2018-12-01,Baja,Media
cuenca,Cuenca,2018-12-01,2019-01-01,Alta,Baja
cuenca,Cuenca,2019-01-01,2019-02-01,Baja,Baja
cuenca,Cuenca,2019-02-01,2019-03-01,Alta,Baja
cuenca,Cuenca,2019-03-01,2019-04-01,Alta,Baja
cuenca,Cuenca,2019-04-01,2019-05-01,Baja,Alta
cuenca,Cuenca,2019-05-01,2019-06-01,Alta,Media
cuenca,Cuenca,2019-06-01,2019-07-01,Media,Alta
cuenca,Cuenca,2019-07-01,2019-08-01,Alta,Baja
cuenca,Cuenca,2019-08-01,2019-09-01,Media,Alta
cuenca,Cuenca,2019-09-01,2019-10-01,Baja,Media
cuenca,Cuenca,2019-10-01,2019-11-01,Alta,Baja
cuenca,Cuenca,2019-11-01,2019-12-01,Alta,Alta
cuenca,Cuenca,2019-12-01,2020-01-01,Media,Alta
cuenca,Cuenca,2020-01-01,2020-02-01,Alta,Baja
cuenca,Cuenca,2020-02-01,2020-03-01,Media,Baja
cuenca,Cuenca,2020-03-01,2020-04-01,Alta,Media
cuenca,Cuenca,2020-04-01,2020-05-01,Media,Alta
cuenca,Cuenca,2020-05-01,2020-06-01,Alta,Alta
cuenca,Cuenca,2020-06-01,2020-07-01,Baja,Media
cuenca,Cuenca,2020-07-01,2020-08-01,Media,Media
cuenca,Cuenca,2020-08-01,2020-09-01,Media,Baja
cuenca,Cuenca,2020-09-01,2020-10-01,Baja,Alta
cuenca,Cuenca,2020-10-01,2020-11-01,Media,Baja
cuenca,Cuenca,2020-11-01,2020-12-01,Media,Media
cuenca,Cuenca,2020-12-01,2021-01-01,Media,Alta
cuenca,Cuenca,2021-01-01,2021-02-01,Alta,Alta
cuenca,Cuenca,2021-02-01,2021-03-01,Alta,Alta
