feature,mutual_information
rx5_max_6m,0.07307844441239375
clim_z_prcptot_mm_lag0,0.06987931567240535
amenaza_actual_Alta,0.05085147702950521
clim_z_dewpoint_mean_c_lag1,0.0467726654040348
temperature_min_c_lag1,0.0464554869525331
clim_z_rx1day_mm_lag0,0.044086198127704534
wind_mean_ms_lag1,0.039999437055188825
clim_z_dewpoint_mean_c_lag0,0.03948095668046725
temperature_mean_c_lag1,0.03947637924693592
clim_z_rx5day_mm_lag2,0.03940593368772638
temperature_mean_c_lag0,0.03928082054600002
r10mm_days_lag3,0.03754987019349243
clim_z_sdii_mm_per_wet_day_lag2,0.036811879685219706
clim_z_sdii_mm_per_wet_day_lag0,0.03388768496586381
prcptot_media_6m,0.033338252552083336
dewpoint_mean_c_lag1,0.03282701713978997
clim_z_dewpoint_mean_c_lag2,0.032792973758748456
surface_pressure_mean_hpa_lag1,0.03276366337922343
clim_z_rx5day_mm_lag1,0.03274614626895489
temperature_min_c_lag5,0.03262765962679515
dewpoint_mean_c_lag2,0.031695829209670956
clim_z_sdii_mm_per_wet_day_lag1,0.03128213677327385
prcptot_mm_lag0,0.030704475858493785
clim_z_temperature_mean_c_lag1,0.03070422990945576
r10mm_days_lag0,0.03005673493307648
clim_z_rx5day_mm_lag0,0.029407286186090342
temperature_max_c_lag0,0.02847652255724653
clim_z_rx1day_mm_lag1,0.028029482027440045
wind_mean_ms_lag4,0.027220694972752257
temperature_min_c_lag0,0.026752339277195558
clim_z_relative_humidity_mean_pct_lag1,0.02672823837814109
wind_max_ms_lag4,0.02655838550769518
clim_z_relative_humidity_mean_pct_lag0,0.026024733095980634
temperatura_tendencia_1m,0.0254419163965236
clim_z_prcptot_mm_lag1,0.0254395898430535
clim_z_relative_humidity_mean_pct_lag2,0.024839758677390522
temperature_max_c_lag3,0.024691382618682756
prcptot_mm_lag1,0.024654555817131607
r20mm_days_lag2,0.024602705047676476
sdii_mm_per_wet_day_lag0,0.023871467911098065
relative_humidity_mean_pct_lag1,0.02350531028086067
wet_days_lag4,0.023327807849734983
max_6h_mm_lag0,0.022879387797565043
temperature_mean_c_lag11,0.022346123692891018
max_3h_mm_lag0,0.02231185700522942
surface_pressure_mean_hpa_lag3,0.021661494971418227
relative_humidity_mean_pct_lag4,0.021537051170888777
rx1day_mm_lag3,0.021476630633617155
r20mm_days_lag4,0.021203431743827883
max_1h_mm_lag0,0.021153600815984497
max_3h_mm_lag6,0.02104154004682446
max_3h_mm_lag1,0.020851563248594385
prcptot_mm_lag5,0.020560377178046707
surface_pressure_mean_hpa_lag0,0.020464734548950148
temperature_max_c_lag6,0.020295814344200025
r20mm_days_lag0,0.019921904987973527
rx1day_mm_lag2,0.019765176607505097
cdd_days_lag2,0.018847345017185102
sdii_mm_per_wet_day_lag1,0.018117823715047
cwd_days_lag3,0.01798943953652632
dewpoint_mean_c_lag6,0.017814848198041577
temperature_mean_c_lag2,0.01765724952537928
prcptot_tendencia_1m,0.017221155072772998
r20mm_days_lag6,0.016781733699863466
wet_days_lag5,0.01662598105716384
