caracteristica,informacion_mutua
relative_humidity_mean_pct_lag1,0.025767664467802653
max_3h_mm_lag1,0.025052432629983246
cdd_days_lag1,0.02343925360146648
max_1h_mm_lag0,0.02316718725083544
temperature_max_c_lag0,0.02276746103851357
temperature_min_c_lag1,0.02198925784782335
cdd_days_lag6,0.02135746251605397
temperature_max_c_lag4,0.021190871569340075
r20mm_days_lag0,0.020248489103675382
temperature_mean_c_lag1,0.020141504205573035
wet_days_lag4,0.019864866883143595
sdii_mm_per_wet_day_lag1,0.017508427559110196
temperature_mean_c_lag0,0.017182215833789094
wet_days_lag2,0.016900626218021575
max_1h_mm_lag2,0.016610121829727653
relative_humidity_mean_pct_lag0,0.01645276553223418
dewpoint_mean_c_lag1,0.016123586916382937
max_1h_mm_lag5,0.013602917930058744
rx5day_mm_lag1,0.013543013526061909
cdd_days_lag0,0.013393350037882445
r20mm_days_lag2,0.013385996051419102
temperature_max_c_lag6,0.013322275128929029
prcptot_mm_lag1,0.013129749368544275
cwd_days_lag1,0.013107063153185106
temperature_min_c_lag5,0.013020536665523608
dewpoint_mean_c_lag2,0.01300584427290552
max_3h_mm_lag2,0.01270306779587127
rx5day_mm_lag3,0.012618933886536787
sdii_mm_per_wet_day_lag5,0.01189760520024663
temperature_min_c_lag2,0.011396925069316222
wet_days_lag0,0.011215998424165097
surface_pressure_mean_hpa_lag3,0.011190436262912051
max_6h_mm_lag5,0.01085329259944956
max_6h_mm_lag1,0.010061508717002177
surface_pressure_mean_hpa_lag1,0.009848945119090846
max_6h_mm_lag0,0.009601117650013702
sdii_mm_per_wet_day_lag2,0.009526702410184829
wet_days_lag1,0.009184900662308593
max_6h_mm_lag4,0.009104816450204112
wind_mean_ms_lag5,0.00892632480928901
temperature_min_c_lag0,0.008602321923603995
rx1day_mm_lag3,0.00855495959815844
wet_days_lag5,0.00798312164826287
temperature_max_c_lag2,0.007970198848364696
r20mm_days_lag4,0.007857540698040122
dewpoint_mean_c_lag0,0.007571071189614198
dewpoint_mean_c_lag6,0.007498957827952957
rx1day_mm_lag5,0.007054496816569333
r10mm_days_lag2,0.00690203271446288
relative_humidity_mean_pct_lag3,0.006723127419141939
cdd_days_lag2,0.00626190822381778
cwd_days_lag3,0.006086014687678443
prcptot_mm_lag0,0.0057060754772289
max_1h_mm_lag1,0.005693893632893854
r10mm_days_lag0,0.005671868484490972
r20mm_days_lag6,0.005551470354759225
r10mm_days_lag3,0.005401704630861204
temperature_min_c_lag3,0.005306051551609681
cwd_days_lag4,0.005065622493294786
wet_days_lag6,0.0048874936736718055
prcptot_mm_lag4,0.004612241023185248
prcptot_mm_lag2,0.004482487284414027
wind_mean_ms_lag4,0.004406308177859142
cdd_days_lag3,0.004335620922812922
temperature_max_c_lag1,0.0042685385722869285
rx5day_mm_lag0,0.00404165502956344
rx1day_mm_lag1,0.0035499074277360876
rx5day_mm_lag5,0.003538025955069024
temperature_mean_c_lag6,0.0031802625287227215
wind_max_ms_lag5,0.002996034381290702
prcptot_mm_lag6,0.0028202257752876214
r10mm_days_lag1,0.002657578132550409
r10mm_days_lag5,0.0026364730020769223
max_1h_mm_lag4,0.0026325107030191752
r20mm_days_lag1,0.0026266039765538984
cdd_days_lag5,0.0022935043556970847
wind_max_ms_lag4,0.0022303224598769766
rx1day_mm_lag0,0.001986866413967725
wind_mean_ms_lag0,0.0018608787703460195
rx5day_mm_lag2,0.0016838045197307139
wind_mean_ms_lag1,0.0016565874099212508
dewpoint_mean_c_lag4,0.0015414456173084012
temperature_max_c_lag3,0.0014778297421225162
temperature_mean_c_lag2,0.0010886095013509234
prcptot_mm_lag5,0.0009274317020300238
r20mm_days_lag3,0.0008977362912920839
max_6h_mm_lag2,0.0008366418786853735
max_1h_mm_lag6,0.0008215894389507206
sdii_mm_per_wet_day_lag4,0.0006997527181784591
cwd_days_lag5,0.0
cwd_days_lag2,0.0
cwd_days_lag0,0.0
cdd_days_lag4,0.0
cwd_days_lag6,0.0
relative_humidity_mean_pct_lag4,0.0
relative_humidity_mean_pct_lag5,0.0
max_3h_mm_lag3,0.0
max_3h_mm_lag0,0.0
max_1h_mm_lag3,0.0
dewpoint_mean_c_lag3,0.0
dewpoint_mean_c_lag5,0.0
relative_humidity_mean_pct_lag2,0.0
relative_humidity_mean_pct_lag6,0.0
r20mm_days_lag5,0.0
r10mm_days_lag6,0.0
r10mm_days_lag4,0.0
max_3h_mm_lag5,0.0
max_3h_mm_lag6,0.0
max_6h_mm_lag3,0.0
max_3h_mm_lag4,0.0
max_6h_mm_lag6,0.0
prcptot_mm_lag3,0.0
rx1day_mm_lag6,0.0
rx1day_mm_lag4,0.0
rx1day_mm_lag2,0.0
temperature_mean_c_lag4,0.0
surface_pressure_mean_hpa_lag5,0.0
surface_pressure_mean_hpa_lag6,0.0
temperature_mean_c_lag3,0.0
temperature_max_c_lag5,0.0
sdii_mm_per_wet_day_lag3,0.0
sdii_mm_per_wet_day_lag0,0.0
rx5day_mm_lag4,0.0
rx5day_mm_lag6,0.0
surface_pressure_mean_hpa_lag0,0.0
sdii_mm_per_wet_day_lag6,0.0
surface_pressure_mean_hpa_lag2,0.0
surface_pressure_mean_hpa_lag4,0.0
temperature_mean_c_lag5,0.0
