caracteristica_eliminada,motivo,correlacionada_con,correlacion_spearman_abs,mi_eliminada,mi_conservada
surface_pressure_mean_hpa_lag2,correlacion_abs>=0.95,surface_pressure_mean_hpa_lag3,0.9971018978096204,0.0,0.011190436262912051
surface_pressure_mean_hpa_lag4,correlacion_abs>=0.95,surface_pressure_mean_hpa_lag3,0.997092862404828,0.0,0.011190436262912051
surface_pressure_mean_hpa_lag5,correlacion_abs>=0.95,surface_pressure_mean_hpa_lag3,0.9953735703780281,0.0,0.011190436262912051
surface_pressure_mean_hpa_lag1,correlacion_abs>=0.95,surface_pressure_mean_hpa_lag3,0.9953712135623449,0.009848945119090846,0.011190436262912051
surface_pressure_mean_hpa_lag6,correlacion_abs>=0.95,surface_pressure_mean_hpa_lag3,0.993292803571593,0.0,0.011190436262912051
surface_pressure_mean_hpa_lag0,correlacion_abs>=0.95,surface_pressure_mean_hpa_lag3,0.9932816625980025,0.0,0.011190436262912051
max_6h_mm_lag1,correlacion_abs>=0.95,max_3h_mm_lag1,0.9828167662859556,0.010061508717002177,0.025052432629983246
max_3h_mm_lag0,correlacion_abs>=0.95,max_6h_mm_lag0,0.9828019772730222,0.0,0.009601117650013702
max_3h_mm_lag4,correlacion_abs>=0.95,max_6h_mm_lag4,0.9826152335306929,0.0,0.009104816450204112
max_3h_mm_lag5,correlacion_abs>=0.95,max_6h_mm_lag5,0.9826028519098182,0.0,0.01085329259944956
temperature_mean_c_lag5,correlacion_abs>=0.95,temperature_min_c_lag5,0.9725275791901629,0.0,0.013020536665523608
temperature_mean_c_lag3,correlacion_abs>=0.95,temperature_min_c_lag3,0.972327319779745,0.0,0.005306051551609681
temperature_mean_c_lag1,correlacion_abs>=0.95,temperature_min_c_lag1,0.972139436761195,0.020141504205573035,0.02198925784782335
temperature_min_c_lag0,correlacion_abs>=0.95,temperature_mean_c_lag0,0.9720900356285719,0.008602321923603995,0.017182215833789094
dewpoint_mean_c_lag5,correlacion_abs>=0.95,dewpoint_mean_c_lag6,0.9688413505502625,0.0,0.007498957827952957
dewpoint_mean_c_lag3,correlacion_abs>=0.95,dewpoint_mean_c_lag2,0.9687880332363231,0.0,0.01300584427290552
temperature_min_c_lag6,correlacion_abs>=0.95,temperature_min_c_lag5,0.9646752719155031,0.0,0.013020536665523608
temperature_min_c_lag4,correlacion_abs>=0.95,temperature_min_c_lag5,0.9643959746508523,0.0,0.013020536665523608
rx1day_mm_lag0,correlacion_abs>=0.95,max_6h_mm_lag0,0.9642701234238386,0.001986866413967725,0.009601117650013702
temperature_min_c_lag2,correlacion_abs>=0.95,temperature_min_c_lag1,0.9641807382568692,0.011396925069316222,0.02198925784782335
rx1day_mm_lag6,correlacion_abs>=0.95,max_6h_mm_lag6,0.9641741296737885,0.0,0.0
rx1day_mm_lag5,correlacion_abs>=0.95,max_6h_mm_lag5,0.9641704737863656,0.007054496816569333,0.01085329259944956
rx1day_mm_lag4,correlacion_abs>=0.95,max_6h_mm_lag4,0.964096061326197,0.0,0.009104816450204112
rx1day_mm_lag2,correlacion_abs>=0.95,max_6h_mm_lag2,0.9640628025607226,0.0,0.0008366418786853735
max_6h_mm_lag3,correlacion_abs>=0.95,rx1day_mm_lag3,0.9639913019483958,0.0,0.00855495959815844
dewpoint_mean_c_lag1,correlacion_abs>=0.95,temperature_min_c_lag1,0.9629146454559193,0.016123586916382937,0.02198925784782335
max_1h_mm_lag1,correlacion_abs>=0.95,max_3h_mm_lag1,0.9595387246368123,0.005693893632893854,0.025052432629983246
max_3h_mm_lag2,correlacion_abs>=0.95,max_1h_mm_lag2,0.9594357324369158,0.01270306779587127,0.016610121829727653
max_3h_mm_lag3,correlacion_abs>=0.95,max_1h_mm_lag3,0.9593940371171361,0.0,0.0
max_3h_mm_lag6,correlacion_abs>=0.95,max_1h_mm_lag6,0.9592183711813684,0.0,0.0008215894389507206
temperature_mean_c_lag6,correlacion_abs>=0.95,temperature_min_c_lag5,0.959043750750194,0.0031802625287227215,0.013020536665523608
temperature_mean_c_lag4,correlacion_abs>=0.95,temperature_min_c_lag3,0.958946106452898,0.0,0.005306051551609681
temperature_mean_c_lag2,correlacion_abs>=0.95,temperature_min_c_lag1,0.9587404650218481,0.0010886095013509234,0.02198925784782335
prcptot_mm_lag5,correlacion_abs>=0.95,r10mm_days_lag5,0.954904929879387,0.0009274317020300238,0.0026364730020769223
r10mm_days_lag4,correlacion_abs>=0.95,prcptot_mm_lag4,0.9548791562399862,0.0,0.004612241023185248
r10mm_days_lag6,correlacion_abs>=0.95,prcptot_mm_lag6,0.9548725254069754,0.0,0.0028202257752876214
r10mm_days_lag0,correlacion_abs>=0.95,prcptot_mm_lag0,0.954808396958117,0.005671868484490972,0.0057060754772289
prcptot_mm_lag3,correlacion_abs>=0.95,r10mm_days_lag3,0.9548064196449831,0.0,0.005401704630861204
prcptot_mm_lag2,correlacion_abs>=0.95,r10mm_days_lag2,0.9547484596433448,0.004482487284414027,0.00690203271446288
r10mm_days_lag1,correlacion_abs>=0.95,prcptot_mm_lag1,0.9547245077903521,0.002657578132550409,0.013129749368544275
