caracteristica_a,caracteristica_b,correlacion_spearman_abs
surface_pressure_mean_hpa_lag2,surface_pressure_mean_hpa_lag3,0.9971018978096204
surface_pressure_mean_hpa_lag3,surface_pressure_mean_hpa_lag4,0.997092862404828
surface_pressure_mean_hpa_lag1,surface_pressure_mean_hpa_lag2,0.9970872767669191
surface_pressure_mean_hpa_lag0,surface_pressure_mean_hpa_lag1,0.9970836109604146
surface_pressure_mean_hpa_lag4,surface_pressure_mean_hpa_lag5,0.9970770070368656
surface_pressure_mean_hpa_lag5,surface_pressure_mean_hpa_lag6,0.9970581638474857
surface_pressure_mean_hpa_lag2,surface_pressure_mean_hpa_lag4,0.9953900871629531
surface_pressure_mean_hpa_lag3,surface_pressure_mean_hpa_lag5,0.9953735703780281
surface_pressure_mean_hpa_lag1,surface_pressure_mean_hpa_lag3,0.9953712135623449
surface_pressure_mean_hpa_lag0,surface_pressure_mean_hpa_lag2,0.995351995846155
surface_pressure_mean_hpa_lag4,surface_pressure_mean_hpa_lag6,0.9953490957703958
surface_pressure_mean_hpa_lag2,surface_pressure_mean_hpa_lag5,0.9933158573535649
surface_pressure_mean_hpa_lag1,surface_pressure_mean_hpa_lag4,0.9932979333680817
surface_pressure_mean_hpa_lag3,surface_pressure_mean_hpa_lag6,0.993292803571593
surface_pressure_mean_hpa_lag0,surface_pressure_mean_hpa_lag3,0.9932816625980025
surface_pressure_mean_hpa_lag2,surface_pressure_mean_hpa_lag6,0.9912061948663263
surface_pressure_mean_hpa_lag1,surface_pressure_mean_hpa_lag5,0.9912015481614622
surface_pressure_mean_hpa_lag0,surface_pressure_mean_hpa_lag4,0.9911826881859563
surface_pressure_mean_hpa_lag1,surface_pressure_mean_hpa_lag6,0.9901132953868321
surface_pressure_mean_hpa_lag0,surface_pressure_mean_hpa_lag5,0.9901018342778397
surface_pressure_mean_hpa_lag0,surface_pressure_mean_hpa_lag6,0.9894582936128722
max_3h_mm_lag1,max_6h_mm_lag1,0.9828167662859556
max_3h_mm_lag0,max_6h_mm_lag0,0.9828019772730222
max_3h_mm_lag2,max_6h_mm_lag2,0.9827283445511398
max_3h_mm_lag3,max_6h_mm_lag3,0.9826305716897445
max_3h_mm_lag4,max_6h_mm_lag4,0.9826152335306929
max_3h_mm_lag5,max_6h_mm_lag5,0.9826028519098182
max_3h_mm_lag6,max_6h_mm_lag6,0.9825253412104097
temperature_mean_c_lag5,temperature_mean_c_lag6,0.9755078989754964
temperature_mean_c_lag4,temperature_mean_c_lag5,0.9753746199697256
temperature_mean_c_lag0,temperature_mean_c_lag1,0.9753264624274797
temperature_mean_c_lag3,temperature_mean_c_lag4,0.9752900362072343
temperature_mean_c_lag2,temperature_mean_c_lag3,0.9752781287399124
temperature_mean_c_lag1,temperature_mean_c_lag2,0.9752657316409176
temperature_mean_c_lag5,temperature_min_c_lag5,0.9725275791901629
temperature_mean_c_lag6,temperature_min_c_lag6,0.9725257792596592
temperature_mean_c_lag4,temperature_min_c_lag4,0.9724909161111048
temperature_mean_c_lag3,temperature_min_c_lag3,0.972327319779745
temperature_mean_c_lag2,temperature_min_c_lag2,0.9722398603046043
temperature_mean_c_lag1,temperature_min_c_lag1,0.972139436761195
temperature_mean_c_lag0,temperature_min_c_lag0,0.9720900356285719
dewpoint_mean_c_lag5,dewpoint_mean_c_lag6,0.9688413505502625
dewpoint_mean_c_lag4,dewpoint_mean_c_lag5,0.9688003337605908
dewpoint_mean_c_lag2,dewpoint_mean_c_lag3,0.9687880332363231
dewpoint_mean_c_lag3,dewpoint_mean_c_lag4,0.9687709389650969
dewpoint_mean_c_lag1,dewpoint_mean_c_lag2,0.9686966858641156
dewpoint_mean_c_lag0,dewpoint_mean_c_lag1,0.968633416557525
temperature_min_c_lag5,temperature_min_c_lag6,0.9646752719155031
temperature_min_c_lag4,temperature_min_c_lag5,0.9643959746508523
