caracteristica,mutual_information_target_clase,spearman_target_rx5day,abs_spearman_target_rx5day
prcptot_mm,0.2978616300411401,0.7286798340248304,0.7286798340248304
surface_pressure_mean_hpa,0.2889629142100285,-0.15758025442094764,0.15758025442094764
r10mm_days,0.2824038365346886,0.6940232131186663,0.6940232131186663
max_3h_mm,0.242805360893543,0.6657025434984921,0.6657025434984921
sdii_mm_per_wet_day,0.2424411475006154,0.6732720292843873,0.6732720292843873
rx5day_mm,0.2398118021096025,0.7036059327671551,0.7036059327671551
max_1h_mm,0.22815125026935723,0.6541174025760926,0.6541174025760926
max_6h_mm,0.22254223892816816,0.6631791559288632,0.6631791559288632
rx1day_mm,0.21937410563121928,0.6709089479008731,0.6709089479008731
wind_mean_ms,0.21791273224658858,-0.6103191879244276,0.6103191879244276
r20mm_days,0.1874140990696005,0.6052642850276125,0.6052642850276125
cwd_days,0.18409048277798257,0.5798664985500893,0.5798664985500893
longitud_solicitada,0.17688457789726963,0.3479986772769871,0.3479986772769871
wet_days,0.17184186723502326,0.5783159114882362,0.5783159114882362
latitud_solicitada,0.1705316787859359,0.26066680168597905,0.26066680168597905
cdd_days,0.15669045876873655,-0.5476202846863558,0.5476202846863558
wind_max_ms,0.15179506946188925,-0.5115151615255082,0.5115151615255082
target_month_sin,0.12897394500413184,0.47034298416865333,0.47034298416865333
temperature_min_c,0.10633032268497988,0.10137621248323925,0.10137621248323925
relative_humidity_mean_pct,0.07489769775642818,0.38632769250982063,0.38632769250982063
temperature_mean_c,0.05813811114262846,0.10595572128777686,0.10595572128777686
dewpoint_mean_c,0.05767987109386863,0.20347762786909274,0.20347762786909274
temperature_max_c,0.04882965646151294,0.1248409038456141,0.1248409038456141
target_month_cos,0.007719985177622846,0.17859464877088305,0.17859464877088305
