columna,tipo
prcptot_mm,numerica
rx1day_mm,numerica
rx5day_mm,numerica
max_1h_mm,numerica
max_3h_mm,numerica
max_6h_mm,numerica
wet_days,numerica
r10mm_days,numerica
r20mm_days,numerica
sdii_mm_per_wet_day,numerica
cwd_days,numerica
cdd_days,numerica
temperature_mean_c,numerica
temperature_max_c,numerica
temperature_min_c,numerica
dewpoint_mean_c,numerica
relative_humidity_mean_pct,numerica
wind_mean_ms,numerica
wind_max_ms,numerica
surface_pressure_mean_hpa,numerica
latitud_solicitada,numerica
longitud_solicitada,numerica
target_month_sin,numerica
target_month_cos,numerica
region,categorica
