caracteristica,Baja,Media,Alta
prcptot_mm,65.57216,159.19188,264.98956
rx1day_mm,9.857836,19.082113,32.14447
rx5day_mm,24.65690660476685,56.47929263114929,85.91574573516846
max_1h_mm,1.6728305,3.68429445,5.3366127
max_3h_mm,3.845661759376526,8.010406017303467,12.283179998397827
max_6h_mm,5.915799617767334,12.12227475643158,19.70958399772644
wet_days,18.0,27.0,29.0
r10mm_days,0.0,4.0,9.0
r20mm_days,0.0,0.0,2.0
sdii_mm_per_wet_day,4.026755332946777,6.218203544616699,9.322063446044922
cwd_days,7.0,16.0,22.0
cdd_days,4.0,2.0,1.0
temperature_mean_c,21.955067,20.008236,22.325005
temperature_max_c,26.090546,25.6096345,27.52948
temperature_min_c,18.97696,14.4001465,18.53061
dewpoint_mean_c,18.651617,17.304651,19.546837
relative_humidity_mean_pct,82.48731,84.594155,86.293945
wind_mean_ms,1.9013473,1.18899345,1.035126
wind_max_ms,4.1604953,3.174211,2.6210055
surface_pressure_mean_hpa,988.95667,894.58615,979.3385
latitud_solicitada,-2.2,-1.663551,-1.4924
longitud_solicitada,-79.922359,-79.00453,-79.534645
target_month_sin,-0.5000000000000004,1.2246467991473532e-16,0.49999999999999994
target_month_cos,-0.4999999999999998,6.123233995736766e-17,6.123233995736766e-17
