caracteristica_1,caracteristica_2,spearman,abs_spearman
max_3h_mm,max_6h_mm,0.982656496154311,0.982656496154311
temperature_mean_c,temperature_min_c,0.9722223079718089,0.9722223079718089
rx1day_mm,max_6h_mm,0.9641182931624019,0.9641182931624019
temperature_min_c,dewpoint_mean_c,0.9628621890920617,0.9628621890920617
max_1h_mm,max_3h_mm,0.9595109126541285,0.9595109126541285
prcptot_mm,r10mm_days,0.9548203197462517,0.9548203197462517
temperature_mean_c,dewpoint_mean_c,0.9525903784358313,0.9525903784358313
prcptot_mm,rx5day_mm,0.9445799320282436,0.9445799320282436
rx1day_mm,max_3h_mm,0.9373422941683339,0.9373422941683339
wet_days,cdd_days,-0.9333946425971024,0.9333946425971024
wet_days,cwd_days,0.9323282927226842,0.9323282927226842
rx1day_mm,rx5day_mm,0.9298798627041488,0.9298798627041488
r10mm_days,sdii_mm_per_wet_day,0.9269824317039881,0.9269824317039881
temperature_mean_c,temperature_max_c,0.9237159130930919,0.9237159130930919
max_1h_mm,max_6h_mm,0.9194817101036549,0.9194817101036549
prcptot_mm,sdii_mm_per_wet_day,0.9192122322214819,0.9192122322214819
wind_mean_ms,wind_max_ms,0.9191682544917127,0.9191682544917127
rx5day_mm,sdii_mm_per_wet_day,0.9119820296001652,0.9119820296001652
rx5day_mm,r10mm_days,0.9108420815935189,0.9108420815935189
rx5day_mm,max_6h_mm,0.9073340502587802,0.9073340502587802
