variable,mejor_lag_mi,mejor_mi,mejor_lag_abs_spearman,mejor_abs_spearman,mi_lag0,abs_spearman_lag0,mi_lag1,abs_spearman_lag1,mi_lag2,abs_spearman_lag2,mi_lag11,abs_spearman_lag11
prcptot_mm,0,0.30115846646946953,0,0.7304049115898229,0.30115846646946953,0.7304049115898229,0.13188120917104085,0.5269999153654004,0.07325274971555662,0.33369377121024046,0.2774114799578822,0.7057767483966955
surface_pressure_mean_hpa,0,0.2846696760427674,0,0.15181647408691393,0.2846696760427674,0.15181647408691393,0.2634284157922482,0.14699826574831512,0.2129040991800819,0.13506814851127888,0.26463644242915274,0.14486721551384957
rx5day_mm,11,0.2628931262007457,0,0.7056693525778075,0.24282812626247852,0.7056693525778075,0.134578375994298,0.5133077686283569,0.054130372620135425,0.32634821791130486,0.2628931262007457,0.685235943599464
r10mm_days,0,0.2616219842922114,0,0.6955546883670766,0.2616219842922114,0.6955546883670766,0.13180859778212572,0.5001731845049141,0.038014292987341936,0.3172544098638894,0.2567052409795325,0.6704560658512315
wind_mean_ms,11,0.25134452231465776,11,0.6292198843534038,0.21577682684293142,0.609731511263931,0.14857950599850112,0.509986516290315,0.11168640202052615,0.39855160004542556,0.25134452231465776,0.6292198843534038
sdii_mm_per_wet_day,0,0.24622420767058495,0,0.6746448440411617,0.24622420767058495,0.6746448440411617,0.11323392295174672,0.4835761114726303,0.027538786640627366,0.3023723544177948,0.23327268317837757,0.6472744068686471
rx1day_mm,11,0.2300109140301474,0,0.6726449962898561,0.2172902339560796,0.6726449962898561,0.11457816433688084,0.49489265957497347,0.03772174662345784,0.3185310367831027,0.2300109140301474,0.6401876133314813
cwd_days,0,0.19024182219741648,0,0.5810340781571717,0.19024182219741648,0.5810340781571717,0.08968381470784492,0.4317104152396381,0.04044083392881315,0.2817742082524559,0.18455541766210226,0.5774775600271713
r20mm_days,0,0.1859668970368229,0,0.6081135759595537,0.1859668970368229,0.6081135759595537,0.08834407995505544,0.4449508169186968,0.02536314763404568,0.2822355252827046,0.143457275614973,0.5644500571993718
wet_days,11,0.1673969609755348,0,0.5792655150188716,0.16500420571124863,0.5792655150188716,0.10543182781608107,0.42598643366571215,0.03801318761107786,0.2710884888434071,0.1673969609755348,0.5701124484464783
cdd_days,11,0.1608170557377604,0,0.5480636036227778,0.16029005487191395,0.5480636036227778,0.07175759001351323,0.3910297047274038,0.010483746668374039,0.24265440805209026,0.1608170557377604,0.5445315317748857
dewpoint_mean_c,4,0.12688476750514566,11,0.21343758787781797,0.059630118713916325,0.2096216124804709,0.05260272988803294,0.11871271888146721,0.04301611129491767,0.019961473966307153,0.06583843112645904,0.21343758787781797
temperature_mean_c,5,0.1166083014286472,5,0.1325823302475593,0.06108621378910817,0.11428217268886558,0.03279920608897746,0.07070282353143545,0.04343093233764117,0.005044532120668132,0.04048937877203018,0.10034055032716009
relative_humidity_mean_pct,10,0.11314010492501336,10,0.42765705201678306,0.07404369464661875,0.3873981429051222,0.020601242419271415,0.20176747155934152,0.0,0.061117402799622834,0.10558677368368197,0.4250951236221373
