caracteristica,n_unicos,varianza,porcentaje_nulos
target_month_cos,11,0.4993476480575253,0.0
target_month_sin,11,0.5009008289224008,0.0
longitud_solicitada,12,0.8297556527173012,0.0
latitud_solicitada,12,1.6139764958066067,0.0
r20mm_days,23,8.145768101468091,0.0
r10mm_days,29,32.38665867705316,0.0
cdd_days,32,24.192683910915807,0.0
wet_days,32,62.31655221545324,0.0
cwd_days,32,94.91137015213556,0.0
temperature_max_c,3844,21.327608103473487,0.0
temperature_min_c,3854,38.303095294935446,0.0
surface_pressure_mean_hpa,3856,13447.19238883528,0.0
sdii_mm_per_wet_day,3857,23.875164299114676,0.0
max_1h_mm,3866,10.684251188129625,0.0
relative_humidity_mean_pct,3870,20.67356057406388,0.0
temperature_mean_c,3873,26.17920559135904,0.0
wind_mean_ms,3875,0.48283799116601456,0.0
dewpoint_mean_c,3875,27.526205645216553,0.0
max_3h_mm,3875,80.60192444717653,0.0
prcptot_mm,3875,25132.26237250404,0.0
wind_max_ms,3876,1.4679050537626956,0.0
max_6h_mm,3876,242.98835767162063,0.0
rx1day_mm,3876,606.3480964404012,0.0
rx5day_mm,3876,2970.942585372783,0.0
