target_month,target_amenaza,cantidad,porcentaje
1,Alta,178,49.44444444444444
1,Baja,40,11.11111111111111
1,Media,142,39.44444444444444
2,Alta,241,64.78494623655914
2,Baja,19,5.10752688172043
2,Media,112,30.107526881720432
3,Alta,233,62.634408602150536
3,Baja,22,5.913978494623656
3,Media,117,31.451612903225808
4,Alta,192,51.61290322580645
4,Baja,36,9.67741935483871
4,Media,144,38.70967741935484
5,Alta,157,42.204301075268816
5,Baja,96,25.806451612903224
5,Media,119,31.989247311827956
6,Alta,92,24.731182795698924
6,Baja,180,48.38709677419355
6,Media,100,26.881720430107528
7,Alta,57,15.32258064516129
7,Baja,209,56.18279569892473
7,Media,106,28.49462365591398
8,Alta,34,9.13978494623656
8,Baja,249,66.93548387096774
8,Media,89,23.9247311827957
9,Alta,32,8.602150537634408
9,Baja,228,61.29032258064516
9,Media,112,30.107526881720432
10,Alta,70,18.817204301075268
10,Baja,164,44.086021505376344
10,Media,138,37.096774193548384
11,Alta,109,29.301075268817204
11,Baja,144,38.70967741935484
11,Media,119,31.989247311827956
12,Alta,136,36.55913978494624
12,Baja,107,28.763440860215052
12,Media,129,34.67741935483871
