zone_id,ciudad,rol,target_amenaza,cantidad,porcentaje
babahoyo,Babahoyo,desarrollo,Alta,239,64.42048517520216
babahoyo,Babahoyo,desarrollo,Baja,37,9.973045822102426
babahoyo,Babahoyo,desarrollo,Media,95,25.606469002695416
cuenca,Cuenca,desarrollo,Alta,55,14.824797843665769
cuenca,Cuenca,desarrollo,Baja,156,42.04851752021563
cuenca,Cuenca,desarrollo,Media,160,43.1266846361186
esmeraldas,Esmeraldas,desarrollo,Alta,144,38.81401617250674
esmeraldas,Esmeraldas,desarrollo,Baja,131,35.309973045822105
esmeraldas,Esmeraldas,desarrollo,Media,96,25.87601078167116
guayaquil,Guayaquil,desarrollo,Alta,167,45.01347708894879
guayaquil,Guayaquil,desarrollo,Baja,88,23.71967654986523
guayaquil,Guayaquil,desarrollo,Media,116,31.266846361185983
loja,Loja,desarrollo,Alta,61,16.442048517520217
loja,Loja,desarrollo,Baja,160,43.1266846361186
loja,Loja,desarrollo,Media,150,40.43126684636118
machala,Machala,desarrollo,Alta,89,23.98921832884097
machala,Machala,desarrollo,Baja,194,52.2911051212938
machala,Machala,desarrollo,Media,88,23.71967654986523
portoviejo,Portoviejo,desarrollo,Alta,74,19.946091644204852
portoviejo,Portoviejo,desarrollo,Baja,217,58.490566037735846
portoviejo,Portoviejo,desarrollo,Media,80,21.5633423180593
puyo,Puyo,desarrollo,Alta,161,43.39622641509434
puyo,Puyo,desarrollo,Baja,51,13.746630727762803
puyo,Puyo,desarrollo,Media,159,42.857142857142854
quito,Quito,desarrollo,Alta,216,58.22102425876011
quito,Quito,desarrollo,Baja,24,6.46900269541779
quito,Quito,desarrollo,Media,131,35.309973045822105
riobamba,Riobamba,desarrollo,Alta,38,10.242587601078167
riobamba,Riobamba,desarrollo,Baja,129,34.77088948787062
riobamba,Riobamba,desarrollo,Media,204,54.98652291105121
salinas,Salinas,desarrollo,Alta,19,5.121293800539084
salinas,Salinas,desarrollo,Baja,302,81.40161725067385
salinas,Salinas,desarrollo,Media,50,13.477088948787062
tena,Tena,desarrollo,Alta,268,72.23719676549865
tena,Tena,desarrollo,Baja,5,1.3477088948787062
tena,Tena,desarrollo,Media,98,26.41509433962264
