zone_id,ciudad,region,period_start,target_period_start,target_rx5day_mm,amenaza_mes,target_amenaza,prediccion,correcta
babahoyo,Babahoyo,Litoral,2021-12-01,2022-01-01,202.33841800689697,Media,Alta,Alta,True
cuenca,Cuenca,Sierra,2021-12-01,2022-01-01,66.4554328918457,Alta,Media,Media,True
esmeraldas,Esmeraldas,Litoral,2021-12-01,2022-01-01,58.38467025756836,Media,Media,Alta,False
guayaquil,Guayaquil,Litoral,2021-12-01,2022-01-01,164.51630210876465,Baja,Alta,Alta,True
loja,Loja,Sierra,2021-12-01,2022-01-01,78.93436574935913,Media,Alta,Media,False
machala,Machala,Litoral,2021-12-01,2022-01-01,25.742794036865234,Baja,Baja,Media,False
portoviejo,Portoviejo,Litoral,2021-12-01,2022-01-01,44.4744176864624,Baja,Media,Alta,False
puyo,Puyo,Amazonía,2021-12-01,2022-01-01,85.60834217071533,Alta,Alta,Alta,True
quito,Quito,Sierra,2021-12-01,2022-01-01,83.81943798065186,Alta,Alta,Alta,True
riobamba,Riobamba,Sierra,2021-12-01,2022-01-01,65.45554542541504,Media,Media,Media,True
salinas,Salinas,Litoral,2021-12-01,2022-01-01,19.3037428855896,Baja,Baja,Baja,True
tena,Tena,Amazonía,2021-12-01,2022-01-01,100.7010622024536,Alta,Alta,Alta,True
babahoyo,Babahoyo,Litoral,2022-01-01,2022-02-01,147.65201091766355,Alta,Alta,Alta,True
cuenca,Cuenca,Sierra,2022-01-01,2022-02-01,56.59682083129883,Media,Media,Media,True
esmeraldas,Esmeraldas,Litoral,2022-01-01,2022-02-01,108.3217134475708,Media,Alta,Alta,True
guayaquil,Guayaquil,Litoral,2022-01-01,2022-02-01,114.37152194976808,Alta,Alta,Alta,True
loja,Loja,Sierra,2022-01-01,2022-02-01,87.95505952835083,Alta,Alta,Media,False
machala,Machala,Litoral,2022-01-01,2022-02-01,61.37398910522461,Baja,Media,Media,True
portoviejo,Portoviejo,Litoral,2022-01-01,2022-02-01,93.57712984085084,Media,Alta,Alta,True
puyo,Puyo,Amazonía,2022-01-01,2022-02-01,89.54076671600342,Alta,Alta,Alta,True
quito,Quito,Sierra,2022-01-01,2022-02-01,127.92679977416992,Alta,Alta,Alta,True
riobamba,Riobamba,Sierra,2022-01-01,2022-02-01,60.90360116958618,Media,Media,Media,True
salinas,Salinas,Litoral,2022-01-01,2022-02-01,20.695507526397705,Baja,Baja,Baja,True
tena,Tena,Amazonía,2022-01-01,2022-02-01,99.27487373352052,Alta,Alta,Alta,True
babahoyo,Babahoyo,Litoral,2022-02-01,2022-03-01,256.4066925048828,Alta,Alta,Alta,True
cuenca,Cuenca,Sierra,2022-02-01,2022-03-01,70.035409450531,Media,Media,Media,True
esmeraldas,Esmeraldas,Litoral,2022-02-01,2022-03-01,121.00248527526855,Alta,Alta,Alta,True
guayaquil,Guayaquil,Litoral,2022-02-01,2022-03-01,190.424252986908,Alta,Alta,Alta,True
loja,Loja,Sierra,2022-02-01,2022-03-01,104.40448045730592,Alta,Alta,Media,False
machala,Machala,Litoral,2022-02-01,2022-03-01,86.18970251083374,Media,Alta,Alta,True
portoviejo,Portoviejo,Litoral,2022-02-01,2022-03-01,106.59407138824464,Alta,Alta,Alta,True
puyo,Puyo,Amazonía,2022-02-01,2022-03-01,176.82274055480957,Alta,Alta,Alta,True
quito,Quito,Sierra,2022-02-01,2022-03-01,159.08197784423828,Alta,Alta,Alta,True
riobamba,Riobamba,Sierra,2022-02-01,2022-03-01,81.40507125854492,Media,Alta,Media,False
salinas,Salinas,Litoral,2022-02-01,2022-03-01,32.51262378692627,Baja,Baja,Baja,True
tena,Tena,Amazonía,2022-02-01,2022-03-01,212.86557388305664,Alta,Alta,Alta,True
babahoyo,Babahoyo,Litoral,2022-03-01,2022-04-01,90.01423597335815,Alta,Alta,Alta,True
