mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__hidden_layer_sizes,param_preprocess__num__selector__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
5.089821934700012,0.7018910546577475,0.018833041191101074,0.0018252558336084705,0.0001,"(64,)",10,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 10}",0.6504381245916129,0.6778565302563427,0.7057734541875647,0.678782074876162,0.6782125459779206,0.01956702107529756,1
6.0458115339279175,0.559488168601028,0.015285015106201172,0.0009064943237120135,0.0001,"(64,)",15,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 15}",0.6201398458633186,0.6682641866248721,0.6801283426283425,0.6536359596405785,0.6555420836892779,0.0224904856755996,4
9.185489475727081,2.114977012345805,0.019552648067474365,0.002204544397848219,0.0001,"(64,)",20,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 20}",0.6542461769457297,0.6418898815200226,0.6620026092628833,0.6330332692935953,0.6477929842555578,0.011138367771019729,9
10.385110259056091,1.5919863189581327,0.020690321922302246,0.003279477903720704,0.0001,"(64,)",25,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 25}",0.6114454029992221,0.64953495951987,0.6815581267402275,0.6362930356958315,0.6447078812387878,0.025290528673781544,11
13.191694676876068,1.089842989640341,0.025397956371307373,0.0035668412075176405,0.0001,"(64,)",all,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 'all'}",0.6461109518500824,0.6407299111070152,0.6729385163282796,0.6431936322287198,0.6507432528785242,0.012955227881160098,7
10.721556961536407,1.398522369673351,0.02146810293197632,0.0029678122614873897,0.0001,"(64, 32)",10,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 10}",0.6169828148572436,0.6599640968074872,0.6550800382412217,0.6603231770459158,0.6480875317379671,0.01807735028551265,8
11.295355021953583,3.456754052163789,0.02220308780670166,0.0047658935619814095,0.0001,"(64, 32)",15,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 15}",0.6248739183521792,0.6158634359271303,0.6674342146858363,0.6306495877407535,0.6347052891764748,0.019616973296661296,16
13.535446524620056,2.1927088339186045,0.02338552474975586,0.004503728404380603,0.0001,"(64, 32)",20,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 20}",0.597071787959408,0.6416902471231843,0.6311840051000422,0.6106327899441925,0.6201447075317068,0.017384709954954804,17
13.559873104095459,3.5252072362417475,0.020886600017547607,0.002016819072515266,0.0001,"(64, 32)",25,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 25}",0.5910082703372165,0.6117106209340296,0.6099176924126622,0.6072616927112316,0.604974569098785,0.00821731857024085,19
13.567138612270355,1.9565401009911012,0.023712992668151855,0.005116870548406374,0.0001,"(64, 32)",all,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 'all'}",0.6283060750894885,0.6138373034414152,0.6481494057724958,0.6555033362549751,0.6364490301395938,0.016413129444981113,14
7.451650381088257,3.070251598977299,0.02760946750640869,0.009569276016705531,0.001,"(64,)",10,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 10}",0.6405628613394437,0.6707726658058718,0.7014163478757888,0.6709145633477908,0.6709166095922238,0.02151513881177538,2
7.799769580364227,1.5696766540850444,0.02285444736480713,0.0035611137108872066,0.001,"(64,)",15,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 15}",0.6102066289497605,0.6667994376960674,0.6912270093222475,0.6551601045825408,0.6558482951376541,0.029390543714505748,3
10.999784111976624,2.9730738833326797,0.03772455453872681,0.020433236518305732,0.001,"(64,)",20,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 20}",0.6608915480664432,0.6451650722956946,0.671354684914007,0.628708217070286,0.6515298805866077,0.016140034036944924,5
11.721847116947174,2.4870841375854322,0.026219546794891357,0.008217636482074353,0.001,"(64,)",25,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 25}",0.6106955575267659,0.6407614017121658,0.6805016314461186,0.6127235909977146,0.6361705454206912,0.028218149432553186,15
16.50700455904007,4.21173347509259,0.020300686359405518,0.0051813505265616575,0.001,"(64,)",all,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64,), 'preprocess__num__selector__k': 'all'}",0.6353582987983583,0.643696848011826,0.6697800073074438,0.6417601677542525,0.6476488304679702,0.013144777203431289,10
11.359989285469055,3.598966161908902,0.022083580493927002,0.0008502315308471029,0.001,"(64, 32)",10,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 10}",0.6444520660725872,0.6518814518814519,0.6530052552407086,0.6550439367678353,0.6510956774906458,0.003999695381240098,6
11.682119488716125,2.1801687851071803,0.023562371730804443,0.002256044011592426,0.001,"(64, 32)",15,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 15}",0.64246904712021,0.6096474515675312,0.6658208406215637,0.64107967150733,0.6397542527041588,0.019968808953349352,13
11.714595675468445,1.7027224886311152,0.014623761177062988,0.00648608604308736,0.001,"(64, 32)",20,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 20}",0.6298493981772812,0.652363942280375,0.5979107350702838,0.5998805129802949,0.6200011471270588,0.02256748093047685,18
11.734473705291748,1.3938964087931167,0.012720882892608643,0.006463664244037446,0.001,"(64, 32)",25,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 25}",0.5704947303048568,0.599858344867789,0.5905632103443793,0.6104851617443865,0.5928503618153529,0.014706319365195866,20
9.38346666097641,0.5569038235430184,0.008135080337524414,0.001708884745526583,0.001,"(64, 32)",all,"{'model__alpha': 0.001, 'model__hidden_layer_sizes': (64, 32), 'preprocess__num__selector__k': 'all'}",0.6296646036591118,0.6488265630246363,0.6496300838720933,0.648780946991696,0.6442255493868844,0.008413547220430464,12
