modelo,fold,caracteristica,tipo_seleccion
Logistic_Regression,1,prcptot_mm,SelectKBest_MI
Logistic_Regression,1,rx5day_mm,SelectKBest_MI
Logistic_Regression,1,max_3h_mm,SelectKBest_MI
Logistic_Regression,1,sdii_mm_per_wet_day,SelectKBest_MI
Logistic_Regression,1,r20mm_days,SelectKBest_MI
Logistic_Regression,1,cwd_days,SelectKBest_MI
Logistic_Regression,1,cdd_days,SelectKBest_MI
Logistic_Regression,1,temperature_mean_c,SelectKBest_MI
Logistic_Regression,1,relative_humidity_mean_pct,SelectKBest_MI
Logistic_Regression,1,wind_mean_ms,SelectKBest_MI
Logistic_Regression,1,surface_pressure_mean_hpa,SelectKBest_MI
Logistic_Regression,1,latitud_solicitada,SelectKBest_MI
Logistic_Regression,1,longitud_solicitada,SelectKBest_MI
Logistic_Regression,1,target_month_sin,SelectKBest_MI
Logistic_Regression,1,target_month_cos,SelectKBest_MI
Logistic_Regression,1,prcptot_mm__lag1,SelectKBest_MI
Logistic_Regression,1,prcptot_mm__lag11,SelectKBest_MI
Logistic_Regression,1,rx5day_mm__lag1,SelectKBest_MI
Logistic_Regression,1,rx5day_mm__lag11,SelectKBest_MI
Logistic_Regression,1,max_3h_mm__lag1,SelectKBest_MI
Logistic_Regression,1,max_3h_mm__lag11,SelectKBest_MI
Logistic_Regression,1,sdii_mm_per_wet_day__lag1,SelectKBest_MI
Logistic_Regression,1,sdii_mm_per_wet_day__lag11,SelectKBest_MI
Logistic_Regression,1,r20mm_days__lag1,SelectKBest_MI
Logistic_Regression,1,r20mm_days__lag11,SelectKBest_MI
Logistic_Regression,1,cwd_days__lag1,SelectKBest_MI
Logistic_Regression,1,cwd_days__lag11,SelectKBest_MI
Logistic_Regression,1,cdd_days__lag1,SelectKBest_MI
Logistic_Regression,1,cdd_days__lag11,SelectKBest_MI
Logistic_Regression,1,temperature_mean_c__lag1,SelectKBest_MI
Logistic_Regression,1,temperature_mean_c__lag11,SelectKBest_MI
Logistic_Regression,1,relative_humidity_mean_pct__lag1,SelectKBest_MI
Logistic_Regression,1,relative_humidity_mean_pct__lag11,SelectKBest_MI
Logistic_Regression,1,wind_mean_ms__lag1,SelectKBest_MI
Logistic_Regression,1,wind_mean_ms__lag11,SelectKBest_MI
Logistic_Regression,1,surface_pressure_mean_hpa__lag1,SelectKBest_MI
Logistic_Regression,1,surface_pressure_mean_hpa__lag11,SelectKBest_MI
Logistic_Regression,1,region_Amazonía,contexto_categorico_siempre
Logistic_Regression,1,region_Litoral,contexto_categorico_siempre
Logistic_Regression,1,region_Sierra,contexto_categorico_siempre
Logistic_Regression,2,prcptot_mm,SelectKBest_MI
Logistic_Regression,2,rx5day_mm,SelectKBest_MI
Logistic_Regression,2,max_3h_mm,SelectKBest_MI
Logistic_Regression,2,sdii_mm_per_wet_day,SelectKBest_MI
Logistic_Regression,2,r20mm_days,SelectKBest_MI
Logistic_Regression,2,cwd_days,SelectKBest_MI
Logistic_Regression,2,cdd_days,SelectKBest_MI
Logistic_Regression,2,temperature_mean_c,SelectKBest_MI
Logistic_Regression,2,relative_humidity_mean_pct,SelectKBest_MI
Logistic_Regression,2,wind_mean_ms,SelectKBest_MI
Logistic_Regression,2,surface_pressure_mean_hpa,SelectKBest_MI
Logistic_Regression,2,latitud_solicitada,SelectKBest_MI
Logistic_Regression,2,longitud_solicitada,SelectKBest_MI
Logistic_Regression,2,target_month_sin,SelectKBest_MI
Logistic_Regression,2,target_month_cos,SelectKBest_MI
Logistic_Regression,2,prcptot_mm__lag1,SelectKBest_MI
Logistic_Regression,2,prcptot_mm__lag11,SelectKBest_MI
Logistic_Regression,2,rx5day_mm__lag1,SelectKBest_MI
Logistic_Regression,2,rx5day_mm__lag11,SelectKBest_MI
Logistic_Regression,2,max_3h_mm__lag1,SelectKBest_MI
Logistic_Regression,2,max_3h_mm__lag11,SelectKBest_MI
Logistic_Regression,2,sdii_mm_per_wet_day__lag1,SelectKBest_MI
Logistic_Regression,2,sdii_mm_per_wet_day__lag11,SelectKBest_MI
Logistic_Regression,2,r20mm_days__lag1,SelectKBest_MI
Logistic_Regression,2,r20mm_days__lag11,SelectKBest_MI
Logistic_Regression,2,cwd_days__lag1,SelectKBest_MI
Logistic_Regression,2,cwd_days__lag11,SelectKBest_MI
Logistic_Regression,2,cdd_days__lag1,SelectKBest_MI
Logistic_Regression,2,cdd_days__lag11,SelectKBest_MI
Logistic_Regression,2,temperature_mean_c__lag1,SelectKBest_MI
Logistic_Regression,2,temperature_mean_c__lag11,SelectKBest_MI
Logistic_Regression,2,relative_humidity_mean_pct__lag1,SelectKBest_MI
Logistic_Regression,2,relative_humidity_mean_pct__lag11,SelectKBest_MI
Logistic_Regression,2,wind_mean_ms__lag1,SelectKBest_MI
Logistic_Regression,2,wind_mean_ms__lag11,SelectKBest_MI
Logistic_Regression,2,surface_pressure_mean_hpa__lag1,SelectKBest_MI
Logistic_Regression,2,surface_pressure_mean_hpa__lag11,SelectKBest_MI
Logistic_Regression,2,region_Amazonía,contexto_categorico_siempre
Logistic_Regression,2,region_Litoral,contexto_categorico_siempre
Logistic_Regression,2,region_Sierra,contexto_categorico_siempre
Logistic_Regression,3,prcptot_mm,SelectKBest_MI
Logistic_Regression,3,rx5day_mm,SelectKBest_MI
Logistic_Regression,3,max_3h_mm,SelectKBest_MI
Logistic_Regression,3,sdii_mm_per_wet_day,SelectKBest_MI
Logistic_Regression,3,r20mm_days,SelectKBest_MI
Logistic_Regression,3,cwd_days,SelectKBest_MI
Logistic_Regression,3,cdd_days,SelectKBest_MI
