modelo,caracteristica,tipo_seleccion,folds_seleccionada,porcentaje_folds
Logistic_Regression,cdd_days,SelectKBest_MI,4,100.0
Logistic_Regression,cdd_days__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,cdd_days__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,cwd_days,SelectKBest_MI,4,100.0
Logistic_Regression,cwd_days__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,cwd_days__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,latitud_solicitada,SelectKBest_MI,4,100.0
Logistic_Regression,longitud_solicitada,SelectKBest_MI,4,100.0
Logistic_Regression,max_3h_mm,SelectKBest_MI,4,100.0
Logistic_Regression,max_3h_mm__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,max_3h_mm__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,prcptot_mm,SelectKBest_MI,4,100.0
Logistic_Regression,prcptot_mm__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,prcptot_mm__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,r20mm_days,SelectKBest_MI,4,100.0
Logistic_Regression,r20mm_days__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,r20mm_days__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,region_Amazonía,contexto_categorico_siempre,4,100.0
Logistic_Regression,region_Litoral,contexto_categorico_siempre,4,100.0
Logistic_Regression,region_Sierra,contexto_categorico_siempre,4,100.0
Logistic_Regression,relative_humidity_mean_pct,SelectKBest_MI,4,100.0
Logistic_Regression,relative_humidity_mean_pct__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,relative_humidity_mean_pct__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,rx5day_mm,SelectKBest_MI,4,100.0
Logistic_Regression,rx5day_mm__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,rx5day_mm__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,sdii_mm_per_wet_day,SelectKBest_MI,4,100.0
Logistic_Regression,sdii_mm_per_wet_day__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,sdii_mm_per_wet_day__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,surface_pressure_mean_hpa,SelectKBest_MI,4,100.0
Logistic_Regression,surface_pressure_mean_hpa__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,surface_pressure_mean_hpa__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,target_month_cos,SelectKBest_MI,4,100.0
Logistic_Regression,target_month_sin,SelectKBest_MI,4,100.0
Logistic_Regression,temperature_mean_c,SelectKBest_MI,4,100.0
Logistic_Regression,temperature_mean_c__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,temperature_mean_c__lag11,SelectKBest_MI,4,100.0
Logistic_Regression,wind_mean_ms,SelectKBest_MI,4,100.0
Logistic_Regression,wind_mean_ms__lag1,SelectKBest_MI,4,100.0
Logistic_Regression,wind_mean_ms__lag11,SelectKBest_MI,4,100.0
MLP,max_3h_mm,SelectKBest_MI,4,100.0
MLP,prcptot_mm,SelectKBest_MI,4,100.0
MLP,prcptot_mm__lag11,SelectKBest_MI,4,100.0
MLP,region_Amazonía,contexto_categorico_siempre,4,100.0
MLP,region_Litoral,contexto_categorico_siempre,4,100.0
MLP,region_Sierra,contexto_categorico_siempre,4,100.0
MLP,rx5day_mm,SelectKBest_MI,4,100.0
MLP,rx5day_mm__lag11,SelectKBest_MI,3,75.0
MLP,sdii_mm_per_wet_day,SelectKBest_MI,4,100.0
MLP,surface_pressure_mean_hpa,SelectKBest_MI,4,100.0
MLP,surface_pressure_mean_hpa__lag1,SelectKBest_MI,4,100.0
MLP,surface_pressure_mean_hpa__lag11,SelectKBest_MI,4,100.0
MLP,wind_mean_ms,SelectKBest_MI,1,25.0
MLP,wind_mean_ms__lag11,SelectKBest_MI,4,100.0
Random_Forest,cdd_days,SelectKBest_MI,4,100.0
Random_Forest,cdd_days__lag1,SelectKBest_MI,4,100.0
Random_Forest,cdd_days__lag11,SelectKBest_MI,4,100.0
Random_Forest,cwd_days,SelectKBest_MI,4,100.0
Random_Forest,cwd_days__lag1,SelectKBest_MI,4,100.0
Random_Forest,cwd_days__lag11,SelectKBest_MI,4,100.0
Random_Forest,latitud_solicitada,SelectKBest_MI,4,100.0
Random_Forest,longitud_solicitada,SelectKBest_MI,4,100.0
Random_Forest,max_3h_mm,SelectKBest_MI,4,100.0
Random_Forest,max_3h_mm__lag1,SelectKBest_MI,4,100.0
Random_Forest,max_3h_mm__lag11,SelectKBest_MI,4,100.0
Random_Forest,prcptot_mm,SelectKBest_MI,4,100.0
Random_Forest,prcptot_mm__lag1,SelectKBest_MI,4,100.0
Random_Forest,prcptot_mm__lag11,SelectKBest_MI,4,100.0
Random_Forest,r20mm_days,SelectKBest_MI,4,100.0
Random_Forest,r20mm_days__lag1,SelectKBest_MI,4,100.0
Random_Forest,r20mm_days__lag11,SelectKBest_MI,4,100.0
Random_Forest,region_Amazonía,contexto_categorico_siempre,4,100.0
Random_Forest,region_Litoral,contexto_categorico_siempre,4,100.0
Random_Forest,region_Sierra,contexto_categorico_siempre,4,100.0
Random_Forest,relative_humidity_mean_pct,SelectKBest_MI,4,100.0
Random_Forest,relative_humidity_mean_pct__lag1,SelectKBest_MI,4,100.0
Random_Forest,relative_humidity_mean_pct__lag11,SelectKBest_MI,4,100.0
Random_Forest,rx5day_mm,SelectKBest_MI,4,100.0
Random_Forest,rx5day_mm__lag1,SelectKBest_MI,4,100.0
Random_Forest,rx5day_mm__lag11,SelectKBest_MI,4,100.0
Random_Forest,sdii_mm_per_wet_day,SelectKBest_MI,4,100.0
Random_Forest,sdii_mm_per_wet_day__lag1,SelectKBest_MI,4,100.0
Random_Forest,sdii_mm_per_wet_day__lag11,SelectKBest_MI,4,100.0
Random_Forest,surface_pressure_mean_hpa,SelectKBest_MI,4,100.0
Random_Forest,surface_pressure_mean_hpa__lag1,SelectKBest_MI,4,100.0
Random_Forest,surface_pressure_mean_hpa__lag11,SelectKBest_MI,4,100.0
Random_Forest,target_month_cos,SelectKBest_MI,4,100.0
