zone_id,target_period_start,fold,modelo,y_real,y_pred
babahoyo,2005-01-01,1,Logistic_Regression,Alta,Alta
cuenca,2005-01-01,1,Logistic_Regression,Baja,Media
esmeraldas,2005-01-01,1,Logistic_Regression,Alta,Alta
guayaquil,2005-01-01,1,Logistic_Regression,Media,Alta
loja,2005-01-01,1,Logistic_Regression,Baja,Media
machala,2005-01-01,1,Logistic_Regression,Media,Media
portoviejo,2005-01-01,1,Logistic_Regression,Baja,Alta
puyo,2005-01-01,1,Logistic_Regression,Media,Alta
quito,2005-01-01,1,Logistic_Regression,Media,Alta
riobamba,2005-01-01,1,Logistic_Regression,Baja,Media
salinas,2005-01-01,1,Logistic_Regression,Baja,Baja
tena,2005-01-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-02-01,1,Logistic_Regression,Alta,Alta
cuenca,2005-02-01,1,Logistic_Regression,Alta,Media
esmeraldas,2005-02-01,1,Logistic_Regression,Alta,Alta
guayaquil,2005-02-01,1,Logistic_Regression,Media,Alta
loja,2005-02-01,1,Logistic_Regression,Alta,Media
machala,2005-02-01,1,Logistic_Regression,Media,Media
portoviejo,2005-02-01,1,Logistic_Regression,Alta,Alta
puyo,2005-02-01,1,Logistic_Regression,Alta,Media
quito,2005-02-01,1,Logistic_Regression,Alta,Alta
riobamba,2005-02-01,1,Logistic_Regression,Alta,Media
salinas,2005-02-01,1,Logistic_Regression,Baja,Baja
tena,2005-02-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-03-01,1,Logistic_Regression,Alta,Alta
cuenca,2005-03-01,1,Logistic_Regression,Media,Media
esmeraldas,2005-03-01,1,Logistic_Regression,Alta,Alta
guayaquil,2005-03-01,1,Logistic_Regression,Alta,Alta
loja,2005-03-01,1,Logistic_Regression,Alta,Media
machala,2005-03-01,1,Logistic_Regression,Media,Alta
portoviejo,2005-03-01,1,Logistic_Regression,Media,Alta
puyo,2005-03-01,1,Logistic_Regression,Baja,Alta
quito,2005-03-01,1,Logistic_Regression,Alta,Alta
riobamba,2005-03-01,1,Logistic_Regression,Media,Media
salinas,2005-03-01,1,Logistic_Regression,Baja,Baja
tena,2005-03-01,1,Logistic_Regression,Media,Alta
babahoyo,2005-04-01,1,Logistic_Regression,Alta,Alta
cuenca,2005-04-01,1,Logistic_Regression,Media,Media
esmeraldas,2005-04-01,1,Logistic_Regression,Alta,Alta
guayaquil,2005-04-01,1,Logistic_Regression,Alta,Alta
loja,2005-04-01,1,Logistic_Regression,Media,Media
machala,2005-04-01,1,Logistic_Regression,Media,Alta
portoviejo,2005-04-01,1,Logistic_Regression,Media,Alta
puyo,2005-04-01,1,Logistic_Regression,Alta,Media
quito,2005-04-01,1,Logistic_Regression,Media,Alta
riobamba,2005-04-01,1,Logistic_Regression,Alta,Media
salinas,2005-04-01,1,Logistic_Regression,Baja,Baja
tena,2005-04-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-05-01,1,Logistic_Regression,Media,Alta
cuenca,2005-05-01,1,Logistic_Regression,Media,Baja
esmeraldas,2005-05-01,1,Logistic_Regression,Alta,Alta
guayaquil,2005-05-01,1,Logistic_Regression,Baja,Alta
loja,2005-05-01,1,Logistic_Regression,Media,Media
machala,2005-05-01,1,Logistic_Regression,Media,Media
portoviejo,2005-05-01,1,Logistic_Regression,Baja,Alta
puyo,2005-05-01,1,Logistic_Regression,Media,Alta
quito,2005-05-01,1,Logistic_Regression,Media,Media
riobamba,2005-05-01,1,Logistic_Regression,Media,Media
salinas,2005-05-01,1,Logistic_Regression,Baja,Baja
tena,2005-05-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-06-01,1,Logistic_Regression,Alta,Media
cuenca,2005-06-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2005-06-01,1,Logistic_Regression,Media,Baja
guayaquil,2005-06-01,1,Logistic_Regression,Media,Baja
loja,2005-06-01,1,Logistic_Regression,Baja,Baja
machala,2005-06-01,1,Logistic_Regression,Baja,Baja
portoviejo,2005-06-01,1,Logistic_Regression,Baja,Baja
puyo,2005-06-01,1,Logistic_Regression,Media,Media
quito,2005-06-01,1,Logistic_Regression,Media,Media
riobamba,2005-06-01,1,Logistic_Regression,Baja,Baja
salinas,2005-06-01,1,Logistic_Regression,Baja,Baja
tena,2005-06-01,1,Logistic_Regression,Alta,Alta
babahoyo,2005-07-01,1,Logistic_Regression,Baja,Media
cuenca,2005-07-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2005-07-01,1,Logistic_Regression,Baja,Baja
guayaquil,2005-07-01,1,Logistic_Regression,Media,Baja
loja,2005-07-01,1,Logistic_Regression,Baja,Baja
machala,2005-07-01,1,Logistic_Regression,Baja,Baja
portoviejo,2005-07-01,1,Logistic_Regression,Baja,Baja
puyo,2005-07-01,1,Logistic_Regression,Media,Media
quito,2005-07-01,1,Logistic_Regression,Baja,Media
riobamba,2005-07-01,1,Logistic_Regression,Baja,Baja
salinas,2005-07-01,1,Logistic_Regression,Baja,Baja
tena,2005-07-01,1,Logistic_Regression,Alta,Media
babahoyo,2005-08-01,1,Logistic_Regression,Baja,Baja
cuenca,2005-08-01,1,Logistic_Regression,Baja,Baja
esmeraldas,2005-08-01,1,Logistic_Regression,Baja,Baja
guayaquil,2005-08-01,1,Logistic_Regression,Baja,Baja
