zone_id,ciudad,region,period_start,target_period_start,target_rx5day_mm,amenaza_mes,target_amenaza,prediccion,correcta
babahoyo,Babahoyo,Litoral,2017-12-01,2018-01-01,69.51021671295166,Media,Media,Alta,False
cuenca,Cuenca,Sierra,2017-12-01,2018-01-01,63.22391319274902,Alta,Media,Media,True
esmeraldas,Esmeraldas,Litoral,2017-12-01,2018-01-01,41.78180170059204,Baja,Media,Alta,False
guayaquil,Guayaquil,Litoral,2017-12-01,2018-01-01,46.28550338745117,Media,Media,Alta,False
loja,Loja,Sierra,2017-12-01,2018-01-01,78.50638628005981,Alta,Alta,Media,False
machala,Machala,Litoral,2017-12-01,2018-01-01,34.62389278411865,Baja,Baja,Alta,False
portoviejo,Portoviejo,Litoral,2017-12-01,2018-01-01,39.10700345039368,Baja,Media,Media,True
puyo,Puyo,Amazonía,2017-12-01,2018-01-01,142.58446788787842,Alta,Alta,Alta,True
quito,Quito,Sierra,2017-12-01,2018-01-01,109.14388847351074,Alta,Alta,Alta,True
riobamba,Riobamba,Sierra,2017-12-01,2018-01-01,58.10632610321045,Media,Media,Media,True
salinas,Salinas,Litoral,2017-12-01,2018-01-01,15.848631620407104,Baja,Baja,Baja,True
tena,Tena,Amazonía,2017-12-01,2018-01-01,129.2582187652588,Alta,Alta,Alta,True
babahoyo,Babahoyo,Litoral,2018-01-01,2018-02-01,172.13050746917725,Media,Alta,Alta,True
cuenca,Cuenca,Sierra,2018-01-01,2018-02-01,135.18344688415527,Media,Alta,Media,False
esmeraldas,Esmeraldas,Litoral,2018-01-01,2018-02-01,95.2030656337738,Media,Alta,Alta,True
guayaquil,Guayaquil,Litoral,2018-01-01,2018-02-01,134.62238121032715,Media,Alta,Alta,True
loja,Loja,Sierra,2018-01-01,2018-02-01,78.14142417907715,Alta,Alta,Media,False
machala,Machala,Litoral,2018-01-01,2018-02-01,70.04127025604248,Baja,Media,Alta,False
portoviejo,Portoviejo,Litoral,2018-01-01,2018-02-01,56.465707540512085,Media,Media,Alta,False
puyo,Puyo,Amazonía,2018-01-01,2018-02-01,122.17314720153809,Alta,Alta,Alta,True
quito,Quito,Sierra,2018-01-01,2018-02-01,114.56420421600342,Alta,Alta,Alta,True
riobamba,Riobamba,Sierra,2018-01-01,2018-02-01,65.35580921173096,Media,Media,Media,True
salinas,Salinas,Litoral,2018-01-01,2018-02-01,63.635737657547,Baja,Media,Media,True
tena,Tena,Amazonía,2018-01-01,2018-02-01,154.49108600616455,Alta,Alta,Alta,True
babahoyo,Babahoyo,Litoral,2018-02-01,2018-03-01,153.0967574119568,Alta,Alta,Alta,True
cuenca,Cuenca,Sierra,2018-02-01,2018-03-01,36.15358352661133,Alta,Baja,Media,False
esmeraldas,Esmeraldas,Litoral,2018-02-01,2018-03-01,69.40743637084961,Alta,Media,Alta,False
guayaquil,Guayaquil,Litoral,2018-02-01,2018-03-01,64.96626710891724,Alta,Media,Alta,False
loja,Loja,Sierra,2018-02-01,2018-03-01,70.51690530776978,Alta,Media,Media,True
