date,precip_total_mm,precip_max_1h_mm,precip_max_3h_mm,precip_max_6h_mm,precip_hours_available,instant_hours_available,temperature_mean_c,temperature_max_c,temperature_min_c,dewpoint_mean_c,relative_humidity_mean_pct,wind_mean_ms,wind_max_ms,surface_pressure_mean_hpa,precip_5day_mm,zone_id,ciudad,provincia,region,rol,latitud_solicitada,longitud_solicitada,dif_1h_3h,dif_3h_6h
1991-09-19,0.2235353,0.21401048,0.21401047706604,0.21401047706604,24,24,23.448645,28.768372,20.21817,17.808403,71.74238,2.4748044,3.5573325,1012.1045,2.1181881427764893,guayaquil,Guayaquil,Guayas,Litoral,desarrollo,-2.170998,-79.922359,2.9339599916244907e-09,0.0
1993-08-11,0.14861226,0.10404736,0.1040473580360412,0.1040473580360412,24,24,22.558746,26.413544,20.068329,17.969227,75.85183,2.0659823,2.7293768,1012.1179,0.2443626523017883,guayaquil,Guayaquil,Guayas,Litoral,desarrollo,-2.170998,-79.922359,1.9639588011433062e-09,0.0
1994-12-15,0.14831498,0.12271479,0.1227147877216339,0.1234002411365509,24,24,24.99317,29.30606,22.475311,20.554132,76.93839,1.9863877,3.011784,1008.8698,16.87878729403019,guayaquil,Guayaquil,Guayas,Litoral,desarrollo,-2.170998,-79.922359,2.2783661068892513e-09,-0.0006854534149170061
2013-09-04,0.16437285,0.15252829,0.1525282859802246,0.1525282859802246,24,24,22.549734,27.947601,19.735748,18.29679,77.71717,2.6173685,3.889111,1012.7842,0.9744382379576564,guayaquil,Guayaquil,Guayas,Litoral,desarrollo,-2.170998,-79.922359,4.019775401431502e-09,0.0
2016-04-29,0.1270026,0.09286404,0.0928640365600586,0.1732036471366882,24,24,26.184814,30.326935,23.620941,22.748789,82.37912,1.3414601,2.971623,1009.57733,46.16803735494614,guayaquil,Guayaquil,Guayas,Litoral,desarrollo,-2.170998,-79.922359,3.4399414011732077e-09,-0.08033961057662961
2020-11-15,0.1363971,0.06586686,0.0658668577671051,0.0658668577671051,24,24,23.47474,28.218964,21.11148,17.876945,71.5101,2.8350744,4.3814445,1013.42706,0.1739122569561004,guayaquil,Guayaquil,Guayas,Litoral,desarrollo,-2.170998,-79.922359,2.232894896758708e-09,0.0
2023-09-09,0.34522414,0.3167987,0.3167986869812011,0.3167986869812011,24,24,25.580343,30.464996,22.102234,20.597044,75.35427,2.1336162,3.1880276,987.12573,4.181609287858009,esmeraldas,Esmeraldas,Esmeraldas,Litoral,desarrollo,0.85,-79.6,1.3018798872277415e-08,0.0
1994-11-23,0.06642162,0.06556325,0.0655632466077804,0.0655633160135948,24,24,25.46002,32.657013,21.222229,18.047586,66.73098,2.217155,4.07643,992.72314,0.3085625097155571,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,3.3922196024382956e-09,-6.940581440129101e-08
2008-10-07,0.14996082,0.14112145,0.1411214470863342,0.1411214470863342,24,24,23.795935,29.605225,20.399384,18.34016,72.80189,1.7851325,2.7638748,993.5893,0.9876821935176848,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,2.9136658086237333e-09,0.0
2012-07-17,0.20022094,0.14574826,0.1457482576370239,0.1458227634429931,24,24,24.480753,29.202942,21.37265,19.215412,73.43489,1.5933286,2.6028376,991.07904,0.951180711388588,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,2.362976092573632e-09,-7.450580596921053e-05
2014-10-07,0.13698786,0.1330562,0.1330561935901641,0.1331120729446411,24,24,24.228958,29.478912,21.231995,17.62224,67.83137,2.1758606,3.405961,992.63165,0.5297449515201151,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,6.409835912046802e-09,-5.587935447701198e-05
2016-10-12,0.12386447,0.11186302,0.1118630170822143,0.111865997496352,24,24,24.402094,30.104767,21.170929,18.304106,70.16099,1.7134924,2.629982,991.9824,0.6113231335766613,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,2.9177856936124513e-09,-2.980414137696008e-06
2021-04-24,0.6690806,0.6581247,0.6581246852874756,0.6581312663911376,24,24,25.066666,29.828278,21.785553,21.391861,81.34352,1.2817477,2.8809848,991.9559,4.699228823184967,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,1.4712524420978923e-08,-6.581103662028909e-06
2022-09-10,0.12954473,0.12534857,0.1253485679626464,0.1253485679626464,24,24,22.692759,28.99118,19.307098,17.170671,72.27273,1.8101473,2.9740155,993.82275,0.3938181456178427,portoviejo,Portoviejo,Manabí,Litoral,desarrollo,-1.054581,-80.454454,2.0373535913886798e-09,0.0
